Thread_1,63.1747,60.1654,60.2576,60.3187,60.4898,60.187,60.5287,59.9963,60.7673,60.075
Thread_2,35.4107,35.1537,35.2123,35.1962,35.1361,34.6189,34.48,34.3056,35.1766,35.1376
Thread_3,26.0364,25.2713,25.9406,25.8094,26.0267,26.2361,26.2016,26.0663,25.999,26.0241
Thread_4,17.2771,17.3288,17.3206,17.4419,17.2947,17.2817,17.419,17.3372,17.2814,17.3197
Thread_5,15.3842,15.416,15.3758,15.5478,15.5703,15.5762,15.4418,15.6234,15.4646,15.6666
Thread_6,14.3389,14.2507,14.2259,14.2379,14.391,14.2746,14.3215,14.2548,14.3071,14.2058
Thread_7,13.6611,13.3028,13.4899,13.3551,13.4647,13.6177,13.6015,13.4931,13.5681,13.6151
Thread_8,12.8771,13.1341,12.967,12.8719,12.7607,12.8652,12.9936,12.857,12.8762,12.953
Thread_9,13.1411,13.3281,13.3175,13.161,13.1337,12.592,13.0086,13.4301,13.4032,12.8374
Thread_10,12.6509,12.228,11.9934,11.7611,12.0684,12.392,11.8912,12.2362,12.2877,12.0001
Thread_11,11.4914,11.7027,11.6122,11.4717,11.5371,11.5376,11.6326,11.7049,11.7248,11.6415
Thread_12,11.7143,11.1618,11.3832,11.3615,11.3342,11.4924,11.509,11.3786,11.3749,11.2553
Thread_13,11.1496,11.2426,11.3571,11,10.9946,11.3047,11.0772,11.3116,11.0386,11.0654
Thread_14,10.8698,10.9058,11.2556,11.0139,11.3691,10.8413,10.7853,10.7807,11.03,11.1693
Thread_15,10.2845,10.736,10.6904,10.2957,10.2633,10.6089,10.4882,10.1371,10.4465,10.5293
Thread_16,9.32459,9.25295,9.13069,9.22922,9.24256,9.37964,9.26307,9.41672,9.37246,9.00474
Thread_17,9.60277,9.77803,9.96106,10.2552,9.4484,9.48915,9.43032,9.76427,10.1264,9.83149
Thread_18,9.96545,9.25529,9.22145,9.18782,9.50949,9.69476,9.27367,8.98198,9.8701,9.40593
Thread_19,9.75411,9.61143,9.35761,9.67736,9.8601,9.54244,9.32659,9.72328,9.81735,9.61299
Thread_20,9.34318,9.28089,9.26698,9.12485,9.33837,8.93989,9.36347,9.35525,9.29112,9.12599
Thread_21,9.09152,9.15598,9.3642,9.01434,8.69329,9.06375,8.95621,9.21828,8.89678,9.29032
Thread_22,8.70796,8.9241,8.91008,9.03711,9.00948,9.12187,8.57587,8.69846,8.68267,9.04271
Thread_23,8.89159,8.95948,8.8215,8.85167,8.61335,8.75789,8.89296,8.88776,8.92793,8.71903
Thread_24,8.67856,9.06681,8.58203,9.12233,8.879,8.93002,8.55284,8.8951,8.83139,8.9267
Thread_25,8.70082,8.59104,8.87897,8.61398,8.58216,8.48502,8.67302,8.81051,8.65499,8.69838
Thread_26,8.29549,8.57272,8.35987,8.36373,8.44867,8.46521,8.19498,8.42691,8.52861,8.35584
Thread_27,8.28023,8.23773,8.40553,8.1414,8.27736,8.31015,8.3626,8.14836,8.13928,8.11192
Thread_28,8.31839,8.0209,8.16236,7.9829,8.14844,8.29814,8.10383,8.17864,8.19826,8.18304
Thread_29,8.12591,7.97181,8.17639,7.98342,8.04329,7.99895,8.16107,8.04429,8.45424,8.11616
Thread_30,8.02427,8.1114,7.94584,8.00592,8.03174,7.94824,8.26378,8.25542,8.03893,7.97379
Thread_31,8.02509,8.23732,8.11906,7.86439,7.86181,8.00358,7.87901,7.71446,7.91912,8.09498
Thread_32,7.77582,7.87129,7.81617,8.06375,8.20936,8.20855,7.93466,7.91832,8.05901,7.773
Thread_33,7.82962,8.12272,7.76849,7.96231,7.74004,8.69238,7.83645,8.81705,7.79194,8.50377
Thread_34,8.33068,8.06776,8.00497,8.48766,8.51565,8.13145,7.89475,7.67229,8.43485,8.0187
Thread_35,8.60711,8.42536,8.28464,8.24143,8.65381,8.64677,8.36385,8.59478,8.4564,8.02422
Thread_36,8.64804,8.45242,8.56957,8.20027,8.86438,8.44538,8.60244,8.97892,8.37686,8.19491
Thread_37,8.12352,8.06607,8.51304,8.25096,8.4923,8.17583,8.59515,7.99436,8.09444,8.20857
Thread_38,8.74553,8.19552,8.62007,8.4015,8.19181,8.43491,8.26877,7.97946,8.11728,8.56044
Thread_39,8.2125,8.36453,8.15059,8.43859,8.33566,8.1397,7.79562,8.48129,8.26906,8.09134
Thread_40,8.31828,8.21282,8.19853,8.20011,7.94342,8.29341,8.14817,8.10202,8.20061,8.61375
Thread_41,8.30606,8.06837,7.90226,7.81334,7.73035,8.14691,8.1431,7.8936,7.98128,8.09352
Thread_42,8.37207,8.43904,8.24234,8.37688,8.34198,8.29415,8.27477,8.1745,8.28837,8.41427
Thread_43,8.16875,8.24297,8.07734,7.94747,8.45593,8.07202,8.08344,8.09609,7.95727,7.94461
Thread_44,7.87183,7.89908,8.07121,7.89276,7.73704,7.67006,7.87725,7.92171,8.05182,7.90823
Thread_45,8.20198,8.04527,8.13016,8.0767,8.03478,8.07528,8.24774,8.09196,8.21364,8.21188
Thread_46,7.92377,7.9726,7.93889,7.67432,7.95512,7.80837,7.80594,7.73248,7.83958,7.84673
Thread_47,8.02037,8.00133,8.0772,8.1523,8.07546,8.15005,8.17125,8.07599,8.00372,7.90476
Thread_48,8.16854,7.95315,8.05738,8.0797,8.08192,8.02008,7.95251,8.01807,7.93188,7.98141
Thread_49,7.71269,7.77615,7.59197,7.86636,7.70912,7.68341,7.6954,7.72174,7.6994,7.53626
Thread_50,7.79614,7.69488,7.66787,7.57094,7.8803,7.71416,7.53574,7.66403,7.76202,7.85916
Thread_51,7.60269,7.63728,7.54376,7.64756,7.7964,7.74806,7.88862,7.60102,7.66235,7.64841
Thread_52,7.77691,7.69035,7.59272,7.89791,7.6274,7.78162,7.73751,7.52963,7.70308,7.70936
Thread_53,7.72568,7.6734,7.70414,7.77389,7.73774,7.72516,7.6037,7.73591,7.81628,7.57302
Thread_54,7.63571,7.65059,7.68303,7.63428,7.54331,7.53127,7.68545,7.77974,7.64135,7.60541
Thread_55,7.9381,7.85209,7.79261,7.87786,7.87603,7.75188,7.88958,7.93639,7.73993,7.81101
Thread_56,7.92097,7.74433,7.87209,7.76302,7.69922,7.86699,7.71054,7.66335,7.70538,7.84396
Thread_57,7.70744,7.84925,7.74398,7.88476,7.71749,7.77341,7.90697,7.66514,7.73163,7.52075
Thread_58,7.56427,7.77228,7.6549,7.69819,7.60149,7.63644,7.74615,7.67387,7.64182,7.50808
Thread_59,7.60221,7.80355,7.94442,7.78722,7.54125,7.81103,7.8518,7.66906,7.82706,7.83362
Thread_60,7.50736,7.59843,7.739,7.75275,7.86266,7.58543,7.79073,7.666,7.70027,7.97734
Thread_61,8.10826,7.54959,7.88719,7.72588,7.78146,7.82358,7.71,7.76588,7.71319,7.91875
Thread_62,7.96759,7.93407,7.77018,7.9982,8.08132,7.83404,7.76662,7.96945,7.9538,7.84897
Thread_63,7.96598,7.91683,7.86476,8.0744,7.81818,7.77268,7.92613,7.74863,7.9455,8.15702
Thread_64,7.94571,8.17189,8.02322,8.18873,8.30386,8.09739,7.91209,7.97217,7.82944,8.05349
